Nombre del apartamento;URL;Precio;Area;Habitaciones;Baños;CONTACTO
Apartamento en Arriendo, Galan, Bogo…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-galan-2-habitaciones-1-banos/16608-M4752871;$130.000;87 m²;2;1;Contactar
Apartamento en Arriendo, LA SAGRAD…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-sagrada-familia-2-habitaciones-1-banos/MC4725904;$500.000;50 m²;2;1;Contactar
Apartamento en Arriendo, Ciudad Verd…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-el-liston-2-habitaciones-1-banos/164-M4138214;$520.000;43 m²;2;1;Contactar
Apartamento en Arriendo, Tierra Buen…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-tierrabuena-reservado-1-y-2-2-habitaciones-1-banos/164-M4434735;$580.000;48 m²;2;1;Contactar
Apartamento en Arriendo, Canada La …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-villa-angelica-2-habitaciones-1-banos/164-M3801633;$600.000;50 m²;2;1;Contactar
Apartamento en Arriendo, CIUDAD VE…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-teusaquillo-2-habitaciones-2-banos-1-garajes/4058-M4579939;$600.000;70 m²;2;2;Contactar
Apartamento en Arriendo, Providencia…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-desarrollo-puerto-rico-2-habitaciones-2-banos/3222-M4440606;$600.000;60 m²;2;2;Contactar
Apartamento en Arriendo, Candelaria …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-i-sector-2-habitaciones-1-banos/3222-M4723302;$600.000;60 m²;2;1;Contactar
Apartamento en Arriendo, San Francis…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-la-acacia-2-habitaciones-1-banos/3222-M4142069;$600.000;50 m²;2;1;Contactar
Apartamento en Arriendo, El Quindio, …;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-los-puentes-2-habitaciones-1-banos/3222-M4659292;$600.000;80 m²;2;1;Contactar
Apartamento en Arriendo, Gran Yomas…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-andres-2-habitaciones-1-banos/10222-M4700447;$610.000;42.95 m²;2;1;Contactar
Apartamento en Arriendo, YOMOSA, B…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-san-andres-2-habitaciones-1-banos/10222-M4744130;$610.000;42 m²;2;1;Contactar
Apartamento en Arriendo, Buenos Aire…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-buenos-aires-2-habitaciones-1-banos/10325-M4563265;$611.000;47.3 m²;2;1;Contactar
Apartamento en Arriendo, Molinos Seg…;https://www.metrocuadrado.com/inmueble/arriendo-apartamento-bogota-mirador-2-habitaciones-1-banos/164-M4075662;$620.000;50 m²;2;1;Contactar
